Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is more nutritious, and thus more [MASK], Braised Chicken or hangover food
",healthy,healthy,expensive,delicious,productive,convenient
"Which is more nutritious, and thus more [MASK], Braised Chicken or pig skin
",healthy,healthy,fertile,tender,expensive,robust
"Which is more nutritious, and thus more [MASK], Braised Chicken or stuffed intestines
",healthy,healthy,expensive,productive,efficient,convenient
"Which is more nutritious, and thus more [MASK], care package or living fish
",healthy,healthy,expensive,productive,economical,efficient
"Which is more nutritious, and thus more [MASK], Happy Faces or human food
",healthy,healthy,delicious,expensive,productive,edible
"Which is more nutritious, and thus more [MASK], Happy Faces or non-vegetarian food
",healthy,healthy,delicious,sustainable,expensive,economical
"Which is more nutritious, and thus more [MASK], Happy Turn or human food
",healthy,healthy,expensive,delicious,productive,abundant
"Which is more nutritious, and thus more [MASK], Happy Turn or non-vegetarian food
",healthy,healthy,sustainable,delicious,expensive,economical
"Which is more nutritious, and thus more [MASK], Krishna Pauroti or Pastry heart
",healthy,healthy,delicious,productive,effective,sweet
"Which is more nutritious, and thus more [MASK], living fish or Altoona-style pizza
",healthy,healthy,delicious,expensive,edible,sustainable
"Which is more nutritious, and thus more [MASK], living fish or baby milk
",healthy,healthy,abundant,productive,fertile,edible
"Which is more nutritious, and thus more [MASK], living fish or Blade steak
",healthy,healthy,abundant,productive,edible,expensive
"Which is more nutritious, and thus more [MASK], living fish or breakfast cereal
",healthy,healthy,productive,edible,delicious,abundant
"Which is more nutritious, and thus more [MASK], living fish or breakfast roll
",healthy,healthy,delicious,edible,productive,expensive
"Which is more nutritious, and thus more [MASK], living fish or care package
",healthy,healthy,productive,sustainable,beneficial,useful
"Which is more nutritious, and thus more [MASK], living fish or cheese dog
",healthy,healthy,productive,edible,delicious,abundant
"Which is more nutritious, and thus more [MASK], living fish or cheese roll
",healthy,healthy,edible,delicious,productive,expensive
"Which is more nutritious, and thus more [MASK], living fish or convenience food
",healthy,healthy,abundant,edible,expensive,sustainable
"Which is more nutritious, and thus more [MASK], living fish or derby pie
",healthy,healthy,edible,productive,abundant,delicious
"Which is more nutritious, and thus more [MASK], living fish or fast food
",healthy,healthy,economical,abundant,sustainable,productive
"Which is more nutritious, and thus more [MASK], living fish or Fruit pizza
",healthy,healthy,abundant,productive,edible,intelligent
"Which is more nutritious, and thus more [MASK], living fish or hangover food
",healthy,healthy,edible,expensive,abundant,productive
"Which is more nutritious, and thus more [MASK], living fish or health food
",healthy,healthy,abundant,sustainable,productive,useful
"Which is more nutritious, and thus more [MASK], living fish or infant formula
",healthy,healthy,productive,abundant,stable,expensive
"Which is more nutritious, and thus more [MASK], living fish or kosher foods
",healthy,healthy,abundant,productive,delicious,expensive
"Which is more nutritious, and thus more [MASK], living fish or Millionaire pie
",healthy,healthy,edible,productive,expensive,delicious
"Which is more nutritious, and thus more [MASK], living fish or Pastry heart
",healthy,healthy,edible,abundant,productive,robust
"Which is more nutritious, and thus more [MASK], living fish or Ranch steak
",healthy,healthy,abundant,productive,edible,expensive
"Which is more nutritious, and thus more [MASK], living fish or shave ice
",healthy,healthy,productive,edible,abundant,expensive
"Which is more nutritious, and thus more [MASK], living fish or soda bread
",healthy,healthy,edible,abundant,delicious,productive
"Which is more nutritious, and thus more [MASK], living fish or street food
",healthy,healthy,sustainable,affordable,expensive,productive
"Which is more nutritious, and thus more [MASK], living fish or Tavern sandwich
",healthy,healthy,edible,productive,abundant,robust
"Which is more nutritious, and thus more [MASK], non-vegetarian food or baby milk
",healthy,healthy,expensive,sustainable,effective,sweet
"Which is more nutritious, and thus more [MASK], non-vegetarian food or bacon roll
",healthy,healthy,expensive,sustainable,delicious,effective
"Which is more nutritious, and thus more [MASK], non-vegetarian food or Brandy snaps
",healthy,healthy,expensive,sustainable,delicious,effective
"Which is more nutritious, and thus more [MASK], non-vegetarian food or bridge mix
",healthy,healthy,sustainable,expensive,organic,economical
"Which is more nutritious, and thus more [MASK], non-vegetarian food or condensed milk
",healthy,healthy,expensive,acidic,sweet,effective
"Which is more nutritious, and thus more [MASK], non-vegetarian food or corn cookie
",healthy,healthy,expensive,sustainable,effective,delicious
"Which is more nutritious, and thus more [MASK], non-vegetarian food or frozen food
",healthy,healthy,expensive,sustainable,delicious,economical
"Which is more nutritious, and thus more [MASK], non-vegetarian food or Ginger crunch
",healthy,healthy,expensive,sustainable,delicious,economical
"Which is more nutritious, and thus more [MASK], non-vegetarian food or hangover food
",healthy,healthy,expensive,sustainable,delicious,affordable
"Which is more nutritious, and thus more [MASK], non-vegetarian food or Pastry heart
",healthy,healthy,expensive,sustainable,effective,delicious
"Which is more nutritious, and thus more [MASK], non-vegetarian food or preserved food
",healthy,healthy,sustainable,expensive,reliable,useful
"Which is more nutritious, and thus more [MASK], non-vegetarian food or Vegetable Handva
",healthy,healthy,sustainable,expensive,effective,economical
