Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is wider, and thus has more [MASK], Panel from a Choir Stall or Pair of Candle Stands
",width,width,detail,depth,than,difficulty
"Which is wider, and thus has more [MASK], Panel from a Choir Stall or Pair of Doors
",width,width,depth,detail,than,edges
"Which is wider, and thus has more [MASK], Panel from a Choir Stall or Pair of Stools
",width,width,depth,than,edges,difficulty
"Which is more nutritious, and thus more [MASK], Fried Rice with Salted Fish and Chicken or Humanitarian daily ration
",healthy,healthy,expensive,balanced,delicious,affordable
"Which is more nutritious, and thus more [MASK], Fried Rice with Salted Fish and Chicken or nutrition in weight class sports
",healthy,healthy,balanced,effective,delicious,versatile
"Which is more nutritious, and thus more [MASK], Nordic bread culture or Skirts and kidneys
",healthy,healthy,expensive,refined,effective,versatile
"Which is more nutritious, and thus more [MASK], Pie and mash or Humanitarian daily ration
",healthy,healthy,sweet,economical,convenient,delicious
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Aahaan kap klaem
",healthy,healthy,expensive,fat,sweet,vegetables
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Achi Soup is
",healthy,healthy,fat,expensive,fertile,acidic
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Aloo ki tikki
",healthy,healthy,sweet,expensive,delicious,fat
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Alu Potala Rasa
",healthy,healthy,fertile,expensive,fat,sweet
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Amish Friendship Bread
",healthy,healthy,fat,expensive,sweet,fertile
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Asam padeh ikan
",healthy,healthy,expensive,fat,sweet,fertile
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or ayam goreng jepara
",healthy,healthy,expensive,sweet,delicious,fat
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Bánh khoai mì
",healthy,healthy,expensive,fat,sweet,fertile
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Baik kut kyee kaik
",healthy,healthy,sweet,expensive,delicious,fat
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Bak kut teh
",healthy,healthy,expensive,sweet,fat,delicious
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Baobab Leaves Soup
",healthy,healthy,expensive,fat,fertile,acidic
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or bún bò Huế
",healthy,healthy,expensive,fat,sweet,delicious
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Bún thịt nướng
",healthy,healthy,expensive,sweet,fat,delicious
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Bay sach chruk
",healthy,healthy,fat,expensive,fertile,sweet
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Bombay Duck Fry
",healthy,healthy,expensive,fat,fertile,acidic
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Borscht with uszka
",healthy,healthy,expensive,fertile,productive,sweet
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or BP-5 Compact Food
",healthy,healthy,expensive,acidic,fat,stable
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Bursa Cantik Pide
",healthy,healthy,expensive,fertile,fat,productive
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Canja de galinha
",healthy,healthy,expensive,sweet,fertile,delicious
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Chè bà ba
",healthy,healthy,expensive,fat,sweet,delicious
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Chai tow kway
",healthy,healthy,expensive,fat,fertile,productive
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Chicken Al faham
",healthy,healthy,expensive,fat,sweet,fertile
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Chicken Steamed Momo
",healthy,healthy,expensive,fat,sweet,fertile
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Chick-fil-A Waffle Potato Fries
",healthy,healthy,expensive,fat,sweet,acidic
"Which is more nutritious, and thus more [MASK], Skirts and kidneys or Ching bo leung
",healthy,healthy,expensive,sweet,fat,delicious
