Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is wider, and thus has more [MASK], Étagère or accoudoir
",width,curves,flexibility,edges,rounded,depth
"Which is wider, and thus has more [MASK], Étagère or Andiron
",width,curves,subdivisions,squares,varieties,branches
"Which is wider, and thus has more [MASK], Étagère or Arca
",width,curves,subdivisions,branches,flexibility,edges
"Which is wider, and thus has more [MASK], Étagère or arcaz
",width,curves,edges,flexibility,squares,depth
"Which is wider, and thus has more [MASK], Étagère or Argolas
",width,curves,squares,subdivisions,streets,branches
"Which is wider, and thus has more [MASK], Étagère or Armário
",width,subdivisions,squares,streets,curves,flexibility
"Which is wider, and thus has more [MASK], Étagère or Armchair
",width,curves,flexibility,edges,rounded,squares
"Which is wider, and thus has more [MASK], Étagère or armrest
",width,flexibility,curves,sleeves,armour,legs
"Which is wider, and thus has more [MASK], Étagère or Athénienne
",width,subdivisions,inhabitants,curves,varieties,variety
"Which is wider, and thus has more [MASK], Étagère or Baú
",width,curves,edges,squares,subdivisions,pronounced
"Which is wider, and thus has more [MASK], Étagère or bank
",width,shops,branches,subdivisions,streets,stores
"Which is wider, and thus has more [MASK], Étagère or bed
",width,curves,depth,room,flexibility,rooms
"Which is wider, and thus has more [MASK], Étagère or bier
",width,curves,edges,pronounced,squares,bends
"Which is wider, and thus has more [MASK], Étagère or binder
",width,flexibility,flexible,edges,handles,holes
"Which is wider, and thus has more [MASK], Étagère or bonnetière
",width,curves,skirts,rounded,decoration,sleeves
"Which is wider, and thus has more [MASK], Étagère or Bookcase
",width,curves,flexibility,rounded,pronounced,squares
"Which is wider, and thus has more [MASK], Étagère or Cômoda
",width,curves,flexibility,edges,branches,subdivisions
"Which is wider, and thus has more [MASK], Étagère or Cômoda-Lavatório
",width,subdivisions,streets,branches,inhabitants,squares
"Which is wider, and thus has more [MASK], Étagère or Cabide
",width,flexibility,curves,edges,depth,squares
"Which is wider, and thus has more [MASK], Étagère or Cabinet
",width,curves,flexibility,edges,pronounced,squares
"Which is wider, and thus has more [MASK], Étagère or cabinet-library
",width,furniture,rooms,elaborate,spacious,libraries
"Which is wider, and thus has more [MASK], Étagère or cabinetry
",width,furniture,rooms,shops,decoration,room
"Which is wider, and thus has more [MASK], Étagère or Cabinet-vitrine
",width,flexibility,pronounced,variety,flexible,varieties
"Which is wider, and thus has more [MASK], Étagère or Cama
",width,curves,subdivisions,edges,branches,flexibility
"Which is wider, and thus has more [MASK], Étagère or Candelabrum
",width,branches,curves,squares,dimensions,flexibility
"Which is wider, and thus has more [MASK], Étagère or Candlestick
",width,curves,flexibility,holes,squares,branches
"Which is wider, and thus has more [MASK], Étagère or Candlesticks
",width,holes,squares,rounded,elaborate,ornaments
"Which is wider, and thus has more [MASK], Étagère or caning
",width,flexibility,curves,variation,edges,depth
"Which is wider, and thus has more [MASK], Étagère or canterbury
",width,streets,subdivisions,curves,squares,branches
"Which is wider, and thus has more [MASK], Étagère or Casket
",width,curves,flexibility,varieties,variety,subdivisions
"Which is wider, and thus has more [MASK], Étagère or Cellarette
",width,rooms,restaurants,shops,streets,subdivisions
"Which is wider, and thus has more [MASK], Étagère or chair
",width,seats,seating,chairs,flexibility,curves
"Which is wider, and thus has more [MASK], Étagère or chest
",width,rounded,curves,width,pronounced,sides
"Which is wider, and thus has more [MASK], Étagère or chesterfield
",width,curves,streets,subdivisions,bays,seats
"Which is wider, and thus has more [MASK], Étagère or Chest-on-Chest
",width,pronounced,curves,squares,narrow,rounded
"Which is wider, and thus has more [MASK], Étagère or chifforobe
",width,curves,variety,flexibility,pronounced,varieties
"Which is wider, and thus has more [MASK], Étagère or chigaidana
",width,curves,flexibility,branches,vowels,edges
"Which is wider, and thus has more [MASK], Étagère or Clock
",width,curves,flexibility,edges,squares,pronounced
"Which is wider, and thus has more [MASK], Étagère or closet
",width,curves,flexibility,edges,depth,squares
"Which is wider, and thus has more [MASK], Étagère or closet-showcase
",width,elaborate,compact,flexible,flexibility,spacious
"Which is wider, and thus has more [MASK], Étagère or coffin
",width,curves,edges,rounded,flexibility,squares
"Which is wider, and thus has more [MASK], Étagère or Cofre
",width,curves,subdivisions,edges,dimensions,squares
"Which is wider, and thus has more [MASK], Étagère or Commode
",width,curves,flexibility,dimensions,edges,symmetry
"Which is wider, and thus has more [MASK], Étagère or conversadeira
",width,subdivisions,flexibility,branches,squares,clubs
"Which is wider, and thus has more [MASK], Étagère or couch
",width,curves,flexibility,edges,squares,depth
"Which is wider, and thus has more [MASK], Étagère or counter
",width,curves,edges,flexibility,squares,rounded
"Which is wider, and thus has more [MASK], Étagère or countertop
",width,rounded,squares,square,curves,flexibility
"Which is wider, and thus has more [MASK], Étagère or Cupboard
",width,flexibility,rounded,depth,curves,fins
"Which is wider, and thus has more [MASK], Étagère or desk
",width,curves,flexibility,edges,rounded,squares
"Which is wider, and thus has more [MASK], Étagère or Dossel
",width,curves,edges,squares,dimensions,flexibility
"Which is wider, and thus has more [MASK], Étagère or Dressers
",width,curves,subdivisions,squares,bends,varieties
"Which is wider, and thus has more [MASK], Étagère or duchess
",width,subdivisions,variations,curves,balls,variants
"Which is wider, and thus has more [MASK], Étagère or Enzi
",width,curves,flexibility,edges,subdivisions,variation
"Which is wider, and thus has more [MASK], Étagère or Escrivaninha
",width,curves,subdivisions,squares,branches,streets
"Which is wider, and thus has more [MASK], Étagère or Estalo
",width,curves,subdivisions,squares,pronounced,flexibility
"Which is wider, and thus has more [MASK], Étagère or Estante
",width,curves,subdivisions,edges,dimensions,flexibility
"Which is wider, and thus has more [MASK], Étagère or Estrado
",width,curves,subdivisions,squares,flexibility,streets
"Which is wider, and thus has more [MASK], Étagère or Faux-palier
",width,subdivisions,curves,squares,streets,edges
"Which is wider, and thus has more [MASK], Étagère or footstool
",width,flexibility,curves,depth,rounded,pronounced
"Which is wider, and thus has more [MASK], Étagère or Four
",width,curves,edges,flexibility,pronounced,depth
"Which is wider, and thus has more [MASK], Étagère or futon
",width,curves,rounded,pronounced,flexibility,squares
"Which is wider, and thus has more [MASK], Étagère or haberdasher
",width,curves,edges,flexibility,squares,subdivisions
