,Masked Sentence,Prediction
0,"Which is wider, and thus has more [MASK], Room Divider or Wisteria Lamp
","flexibility, depth, nodes, branches, layers"
1,"Which is wider, and thus has more [MASK], Room Divider or Dressing Cabinet
","flexibility, depth, curves, edges, width"
2,"Which is wider, and thus has more [MASK], Room Divider or Abbot's Stall
","flexibility, depth, detail, dimensions, curves"
3,"Which is wider, and thus has more [MASK], Room Divider or Abbotsford style
","flexibility, pronounced, elaborate, detail, ornate"
4,"Which is wider, and thus has more [MASK], Room Divider or ancient furniture
","ornate, elaborate, furniture, decoration, decorative"
5,"Which is wider, and thus has more [MASK], Room Divider or Animal furniture
","flexible, flexibility, compact, efficient, space"
6,"Which is wider, and thus has more [MASK], Room Divider or antique furniture
","expensive, furniture, modern, ornate, spacious"
7,"Which is wider, and thus has more [MASK], Room Divider or Arca Bau
","flexibility, depth, nodes, dimensions, layers"
8,"Which is wider, and thus has more [MASK], Room Divider or Arca Canastra
","branches, depth, dimensions, flexibility, curves"
9,"Which is wider, and thus has more [MASK], Room Divider or architectural furniture
","decorative, flexible, detail, flexibility, furniture"
10,"Which is wider, and thus has more [MASK], Room Divider or Armário Armário-Estante
","flexibility, subdivisions, dimensions, seats, inhabitants"
11,"Which is wider, and thus has more [MASK], Room Divider or Armário Guarda-Comida
","seats, subdivisions, inhabitants, flexibility, branches"
12,"Which is wider, and thus has more [MASK], Room Divider or Armário Guarda-Louça
","flexibility, seats, inhabitants, depth, dimensions"
13,"Which is wider, and thus has more [MASK], Room Divider or Armário Guarda-Roupa
","inhabitants, seats, subdivisions, flexibility, branches"
14,"Which is wider, and thus has more [MASK], Room Divider or Armário Vitrina-Armário
","subdivisions, inhabitants, seats, streets, branches"
15,"Which is wider, and thus has more [MASK], Room Divider or Armário Vitrine
","flexibility, depth, complexity, layers, complications"
16,"Which is wider, and thus has more [MASK], Room Divider or Armário: Guarda-Roupa
","subdivisions, inhabitants, branches, seats, streets"
17,"Which is wider, and thus has more [MASK], Room Divider or Baby furniture
","flexibility, flexible, efficient, compact, space"
18,"Which is wider, and thus has more [MASK], Room Divider or Bed tables
","flexibility, efficient, convenient, complicated, detail"
19,"Which is wider, and thus has more [MASK], Room Divider or beer tap
","flexibility, beer, efficient, fluid, convenient"
20,"Which is wider, and thus has more [MASK], Room Divider or Beijing-style furniture
","expensive, ornate, flexible, decorative, compact"
21,"Which is wider, and thus has more [MASK], Room Divider or book chest
","flexibility, storage, space, pages, shelves"
22,"Which is wider, and thus has more [MASK], Room Divider or Bureau table
","flexibility, detail, dimensions, complexity, edges"
23,"Which is wider, and thus has more [MASK], Room Divider or campaign furniture
","flexibility, efficient, flexible, expensive, options"
24,"Which is wider, and thus has more [MASK], Room Divider or Candle Bracket
","flexibility, depth, curves, edges, efficient"
25,"Which is wider, and thus has more [MASK], Room Divider or Candle Stand
","flexibility, curves, edges, depth, symmetry"
26,"Which is wider, and thus has more [MASK], Room Divider or Card table
","flexibility, detail, efficient, convenient, complexity"
